Season,Round,Week,Day,Date,Time,Home,xG_Home,Score,xG_Away,Away,Attendance,Venue,Referee,Match Report
2017,Group stage,1,Tue,2017-09-12,19:45 (01:45),Chelsea eng,2.0,6–0,0.3,az Qarabağ,"41,150",Stamford Bridge,Tasos Sidiropoulos,0f310e33
2017,Group stage,1,Tue,2017-09-12,19:45 (01:45),Celtic sct,0.4,0–5,2.5,fr Paris S-G,"57,562",Celtic Park,Daniele Orsato,855684cf
2017,Group stage,1,Tue,2017-09-12,19:45 (01:45),Manchester Utd eng,3.4,3–0,0.6,ch Basel,"73,854",Old Trafford,Ruddy Buquet,a27a806e
2017,Group stage,1,Tue,2017-09-12,19:45 (01:45),Benfica pt,2.1,1–2,1.6,ru CSKA Moscow,"38,323",Estádio do Sport Lisboa e Benfica,Alberto Undiano,cbbb5b20
2017,Group stage,1,Tue,2017-09-12,20:45 (01:45),Roma it,0.5,0–0,2.4,es Atlético Madrid,"36,064",Stadio Olimpico,Milorad Mažić,4414b952
2017,Group stage,1,Tue,2017-09-12,20:45 (01:45),Barcelona es,0.9,3–0,0.7,it Juventus,"78,656",Camp Nou,Damir Skomina,9badc434
2017,Group stage,1,Tue,2017-09-12,20:45 (01:45),Bayern Munich de,4.2,3–0,0.8,be Anderlecht,"70,000",Allianz Arena,Paolo Tagliavento,be4af035
2017,Group stage,1,Tue,2017-09-12,21:45 (01:45),Olympiacos gr,1.1,2–3,2.6,pt Sporting CP,"30,168",Stadio Georgios Karaiskáki,Viktor Kassai,b5bad8aa
2017,Group stage,1,Wed,2017-09-13,19:45 (01:45),Porto pt,1.5,1–3,0.9,tr Beşiktaş,"42,429",Estádio Do Dragão,Anthony Taylor,48b4bd06
2017,Group stage,1,Wed,2017-09-13,19:45 (01:45),Liverpool eng,2.4,2–2,1.2,es Sevilla,"52,332",Anfield,Danny Makkelie,9528d840
2017,Group stage,1,Wed,2017-09-13,19:45 (01:45),Tottenham eng,1.2,3–1,0.8,de Dortmund,"67,343",Wembley Stadium,Gianluca Rocchi,ab1ad65c
2017,Group stage,1,Wed,2017-09-13,20:45 (01:45),NK Maribor si,1.1,1–1,1.8,ru Spartak Moscow,"12,566",Ljudski vrt,Deniz Aytekin,6f1c5701
2017,Group stage,1,Wed,2017-09-13,20:45 (01:45),Feyenoord nl,0.3,0–4,1.3,eng Manchester City,"43,500",Stadion Feijenoord,Szymon Marciniak,7bff5ce6
2017,Group stage,1,Wed,2017-09-13,20:45 (01:45),RB Leipzig de,0.9,1–1,1.1,fr Monaco,"40,068",Red Bull Arena,Michael Oliver,8b5cb1bc
2017,Group stage,1,Wed,2017-09-13,20:45 (01:45),Real Madrid es,3.9,3–0,0.2,cy APOEL FC,"71,060",Estadio Santiago Bernabéu,Benoît Bastien,fd3ebb28
2017,Group stage,1,Wed,2017-09-13,21:45 (01:45),Shakhtar ua,1.4,2–1,1.9,it Napoli,"32,679",L'viv Arena,Felix Zwayer,0159736c
2017,,,,,,,,,,,,,,
2017,Group stage,2,Tue,2017-09-26,19:45 (01:45),Manchester City eng,3.2,2–0,0.5,ua Shakhtar,"45,310",Academy Stadium,Jorge de Sousa,a9d00ea8
2017,Group stage,2,Tue,2017-09-26,20:45 (01:45),Sevilla es,3.9,3–0,0.4,si NK Maribor,"34,705",Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakov,27a54c3e
2017,Group stage,2,Tue,2017-09-26,20:45 (01:45),Dortmund de,1.2,1–3,3.2,es Real Madrid,"65,849",Signal Iduna Park,Björn Kuipers,2c58d390
2017,Group stage,2,Tue,2017-09-26,20:45 (01:45),Monaco fr,0.6,0–3,2.9,pt Porto,"11,703",Stade Louis II,Slavko Vinčić,47ab800e
2017,Group stage,2,Tue,2017-09-26,20:45 (01:45),Napoli it,0.9,3–1,1.6,nl Feyenoord,"22,577",Stadio San Paolo,William Collum,68d31e1c
2017,Group stage,2,Tue,2017-09-26,21:45 (01:45),Spartak Moscow ru,0.2,1–1,2.8,eng Liverpool,"43,376",Otkrytie Arena,Clément Turpin,40930cdb
2017,Group stage,2,Tue,2017-09-26,21:45 (01:45),Beşiktaş tr,1.0,2–0,1.1,de RB Leipzig,"36,641",Vodafone Arena,Sergey Karasev,99045b59
2017,Group stage,2,Tue,2017-09-26,21:45 (01:45),APOEL FC cy,1.0,0–3,1.8,eng Tottenham,"16,324",Neo GSP,Pavel Královec,e0532f21
2017,Group stage,2,Thu,2017-09-28,00:45 (01:45),CSKA Moscow ru,0.6,1–4,4.3,eng Manchester Utd,"29,073",Stadion CSKA,Jonas Eriksson,f6e20683
2017,Group stage,2,Wed,2017-09-27,19:45 (01:45),Sporting CP pt,0.7,0–1,0.9,es Barcelona,"48,575",Estádio José Alvalade,Ovidiu Hațegan,14e9aad9
2017,Group stage,2,Wed,2017-09-27,20:00 (23:00),Qarabağ az,0.9,1–2,1.9,it Roma,"67,200",Bakı Olimpiya Stadionu,Artur Soares Dias,e5d01fff
2017,Group stage,2,Wed,2017-09-27,20:45 (01:45),Atlético Madrid es,1.4,1–2,2.5,eng Chelsea,"60,643",Estadio Wanda Metropolitano,Cüneyt Çakιr,1df64d2e
2017,Group stage,2,Wed,2017-09-27,20:45 (01:45),Juventus it,2.3,2–0,0.5,gr Olympiacos,"33,460",Allianz Stadium,Tobias Stieler,2665036e
2017,Group stage,2,Wed,2017-09-27,20:45 (01:45),Basel ch,3.2,5–0,0.4,pt Benfica,"34,111",St. Jakob-Park,Craig Thomson,8985adaa
2017,Group stage,2,Wed,2017-09-27,20:45 (01:45),Paris S-G fr,2.0,3–0,1.0,de Bayern Munich,"46,252",Parc des Princes,Antonio Matéu Lahoz,af194ea3
2017,Group stage,2,Wed,2017-09-27,20:45 (01:45),Anderlecht be,0.6,0–3,1.2,sct Celtic,"19,898",Stade Constant Vanden Stock,Jesús Gil,d4759e88
2017,,,,,,,,,,,,,,
2017,Group stage,3,Tue,2017-10-17,19:45 (01:45),Manchester City eng,2.7,2–1,2.2,it Napoli,"48,520",Etihad Stadium,Antonio Matéu Lahoz,81806683
2017,Group stage,3,Tue,2017-10-17,20:45 (01:45),Feyenoord nl,1.6,1–2,1.3,ua Shakhtar,"43,500",Stadion Feijenoord,Alberto Undiano,27bb60f5
2017,Group stage,3,Tue,2017-10-17,20:45 (01:45),Monaco fr,0.7,1–2,1.2,tr Beşiktaş,"7,403",Stade Louis II,Milorad Mažić,2f23aaa2
2017,Group stage,3,Tue,2017-10-17,20:45 (01:45),RB Leipzig de,2.5,3–2,1.1,pt Porto,"41,496",Red Bull Arena,Paolo Tagliavento,8ed0b9c6
2017,Group stage,3,Tue,2017-10-17,20:45 (01:45),Real Madrid es,2.9,1–1,0.9,eng Tottenham,"76,589",Estadio Santiago Bernabéu,Szymon Marciniak,971e1bcb
2017,Group stage,3,Tue,2017-10-17,20:45 (01:45),NK Maribor si,0.4,0–7,4.6,eng Liverpool,"12,506",Ljudski vrt,Viktor Kassai,d40c6462
2017,Group stage,3,Tue,2017-10-17,21:45 (01:45),Spartak Moscow ru,1.7,5–1,1.3,es Sevilla,"44,307",Otkrytie Arena,Gianluca Rocchi,7e9678c0
2017,Group stage,3,Tue,2017-10-17,21:45 (01:45),APOEL FC cy,1.0,1–1,2.1,de Dortmund,"15,604",Neo GSP,Aliaksei Kulbakov,d541dc1c
2017,Group stage,3,Wed,2017-10-18,19:45 (01:45),Benfica pt,0.5,0–1,0.6,eng Manchester Utd,"57,684",Estádio do Sport Lisboa e Benfica,Felix Zwayer,18d65101
2017,Group stage,3,Wed,2017-10-18,19:45 (01:45),Chelsea eng,1.6,3–3,1.6,it Roma,"41,105",Stamford Bridge,Damir Skomina,d2152a99
2017,Group stage,3,Wed,2017-10-18,20:00 (23:00),Qarabağ az,0.4,0–0,1.9,es Atlético Madrid,"47,923",Bakı Olimpiya Stadionu,Ruddy Buquet,0787409b
2017,Group stage,3,Wed,2017-10-18,20:45 (01:45),Barcelona es,3.5,3–1,0.2,gr Olympiacos,"55,026",Camp Nou,William Collum,395e54ba
2017,Group stage,3,Wed,2017-10-18,20:45 (01:45),Anderlecht be,1.2,0–4,3.3,fr Paris S-G,"19,108",Stade Constant Vanden Stock,Pavel Královec,47249c92
2017,Group stage,3,Wed,2017-10-18,20:45 (01:45),Bayern Munich de,3.2,3–0,0.6,sct Celtic,"70,000",Allianz Arena,Sergey Karasev,aae24353
2017,Group stage,3,Wed,2017-10-18,20:45 (01:45),Juventus it,1.5,2–1,0.5,pt Sporting CP,"36,288",Allianz Stadium,Michael Oliver,ba457cfb
2017,Group stage,3,Wed,2017-10-18,21:45 (01:45),CSKA Moscow ru,0.4,0–2,1.4,ch Basel,"27,996",VEB Arena,Björn Kuipers,5222ac12
2017,,,,,,,,,,,,,,
2017,Group stage,4,Tue,2017-10-31,19:45 (02:45),Celtic sct,1.4,1–2,0.7,de Bayern Munich,"58,269",Celtic Park,Danny Makkelie,2eb85b86
2017,Group stage,4,Tue,2017-10-31,19:45 (02:45),Sporting CP pt,0.5,1–1,2.0,it Juventus,"48,442",Estádio José Alvalade,Clément Turpin,a6b23984
2017,Group stage,4,Tue,2017-10-31,19:45 (02:45),Manchester Utd eng,2.7,2–0,0.9,pt Benfica,"74,437",Old Trafford,Gediminas Mažeika,c810fb4b
2017,Group stage,4,Tue,2017-10-31,20:45 (02:45),Paris S-G fr,2.6,5–0,0.2,be Anderlecht,"46,403",Parc des Princes,David Fernández,0cb548c7
2017,Group stage,4,Tue,2017-10-31,20:45 (02:45),Atlético Madrid es,3.2,1–1,0.2,az Qarabağ,"55,893",Estadio Wanda Metropolitano,Deniz Aytekin,0e2c3dc9
2017,Group stage,4,Tue,2017-10-31,20:45 (02:45),Roma it,1.5,3–0,1.3,eng Chelsea,"55,036",Stadio Olimpico,Jonas Eriksson,2cb50eb1
2017,Group stage,4,Tue,2017-10-31,20:45 (02:45),Basel ch,1.2,1–2,1.3,ru CSKA Moscow,"33,303",St. Jakob-Park,Milorad Mažić,924e877d
2017,Group stage,4,Tue,2017-10-31,21:45 (02:45),Olympiacos gr,0.3,0–0,1.8,es Barcelona,"31,600",Stadio Georgios Karaiskáki,Anthony Taylor,64b8250b
2017,Group stage,4,Wed,2017-11-01,19:45 (02:45),Tottenham eng,2.3,3–1,2.2,es Real Madrid,"83,782",Wembley Stadium,Cüneyt Çakιr,21830d60
2017,Group stage,4,Wed,2017-11-01,19:45 (02:45),Porto pt,1.8,3–1,0.6,de RB Leipzig,"41,616",Estádio Do Dragão,Ovidiu Hațegan,224f1452
2017,Group stage,4,Wed,2017-11-01,19:45 (02:45),Liverpool eng,2.7,3–0,0.3,si NK Maribor,"47,957",Anfield,Ivan Kružliak,4fb0cded
2017,Group stage,4,Wed,2017-11-01,20:00 (00:00),Beşiktaş tr,1.3,1–1,1.0,fr Monaco,"39,346",Vodafone Arena,Paolo Tagliavento,d1c24fd4
2017,Group stage,4,Wed,2017-11-01,20:45 (02:45),Sevilla es,0.9,2–1,1.2,ru Spartak Moscow,"38,002",Estadio Ramón Sánchez Pizjuán,Artur Soares Dias,31775054
2017,Group stage,4,Wed,2017-11-01,20:45 (02:45),Dortmund de,2.8,1–1,0.6,cy APOEL FC,"64,500",Fußballpark BVB Hohenbuschei,Matej Jug,35b4cf49
2017,Group stage,4,Wed,2017-11-01,20:45 (02:45),Napoli it,2.1,2–4,1.4,eng Manchester City,"44,483",Stadio San Paolo,Felix Brych,cdd83951
2017,Group stage,4,Wed,2017-11-01,21:45 (02:45),Shakhtar ua,2.6,3–1,1.0,nl Feyenoord,"24,570",Oblasny SportKomplex Metalist,Tasos Sidiropoulos,aeb0dd2c
2017,,,,,,,,,,,,,,
2017,Group stage,5,Tue,2017-11-21,19:45 (02:45),Manchester City eng,1.3,1–0,0.3,nl Feyenoord,"43,548",Etihad Stadium,Ivan Kružliak,7b0e879a
2017,Group stage,5,Tue,2017-11-21,20:00 (00:00),Beşiktaş tr,0.7,1–1,0.7,pt Porto,"36,919",Vodafone Arena,Antonio Matéu Lahoz,93dc4350
2017,Group stage,5,Tue,2017-11-21,20:00 (00:00),Spartak Moscow ru,1.4,1–1,1.2,si NK Maribor,"42,920",Otkrytie Arena,William Collum,bdfd629a
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Sevilla es,1.9,3–3,2.3,eng Liverpool,"39,495",Estadio Ramón Sánchez Pizjuán,Felix Brych,06b7ba00
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Napoli it,1.9,3–0,0.5,ua Shakhtar,"10,573",Stadio San Paolo,Damir Skomina,0b2ff06a
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Dortmund de,1.1,1–2,1.1,eng Tottenham,"65,849",Signal Iduna Park,Clément Turpin,9e4e2580
2017,Group stage,5,Tue,2017-11-21,20:45 (02:45),Monaco fr,0.8,1–4,1.5,de RB Leipzig,"9,029",Stade Louis II,Alberto Undiano,f71119db
2017,Group stage,5,Tue,2017-11-21,21:45 (02:45),APOEL FC cy,0.5,0–6,3.7,es Real Madrid,"19,705",Neo GSP,Artur Soares Dias,6da6de2c
2017,Group stage,5,Wed,2017-11-22,19:45 (02:45),Sporting CP pt,2.0,3–1,0.4,gr Olympiacos,"42,528",Estádio José Alvalade,Felix Zwayer,476e861f
2017,Group stage,5,Wed,2017-11-22,20:00 (00:00),CSKA Moscow ru,1.0,2–0,1.0,pt Benfica,"27,709",VEB Arena,Deniz Aytekin,58d664dd
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Juventus it,0.5,0–0,0.9,es Barcelona,"40,876",Allianz Stadium,Milorad Mažić,01d41d2e
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Basel ch,1.1,1–0,1.5,eng Manchester Utd,"36,000",St. Jakob-Park,Daniele Orsato,509fe222
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Anderlecht be,1.8,1–2,2.2,de Bayern Munich,"19,753",Stade Constant Vanden Stock,Anthony Taylor,8082f4d0
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Paris S-G fr,2.8,7–1,0.3,sct Celtic,"46,288",Parc des Princes,Tasos Sidiropoulos,cc6cbd90
2017,Group stage,5,Wed,2017-11-22,20:45 (02:45),Atlético Madrid es,1.4,2–0,0.5,it Roma,"56,253",Estadio Wanda Metropolitano,Björn Kuipers,f32e5d65
2017,Group stage,5,Wed,2017-11-22,21:00 (00:00),Qarabağ az,0.2,0–4,3.9,eng Chelsea,"67,100",Bakı Olimpiya Stadionu,Jorge de Sousa,c03452c3
2017,,,,,,,,,,,,,,
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Chelsea eng,2.9,1–1,1.0,es Atlético Madrid,"40,875",Stamford Bridge,Danny Makkelie,1998dd31
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Celtic sct,0.8,0–1,0.7,be Anderlecht,"57,931",Celtic Park,Matej Jug,379b4447
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Manchester Utd eng,2.9,2–1,0.8,ru CSKA Moscow,"74,669",Old Trafford,Gianluca Rocchi,66d0083b
2017,Group stage,6,Tue,2017-12-05,19:45 (02:45),Benfica pt,1.4,0–2,1.4,ch Basel,"22,470",Estádio do Sport Lisboa e Benfica,Jesús Gil,e4e1ffe5
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Barcelona es,1.2,2–0,1.0,pt Sporting CP,"48,336",Camp Nou,Craig Thomson,17adc8d4
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Roma it,1.9,1–0,0.4,az Qarabağ,"34,258",Stadio Olimpico,Tobias Stieler,650bd686
2017,Group stage,6,Tue,2017-12-05,20:45 (02:45),Bayern Munich de,1.8,3–1,1.9,fr Paris S-G,"70,000",Allianz Arena,Cüneyt Çakιr,a85a1960
2017,Group stage,6,Tue,2017-12-05,21:45 (02:45),Olympiacos gr,1.0,0–2,1.5,it Juventus,"29,567",Stadio Georgios Karaiskáki,David Fernández,9d8cdd1c
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Tottenham eng,2.3,3–0,0.6,cy APOEL FC,"42,679",Wembley Stadium,Slavko Vinčić,24867db8
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Porto pt,1.9,5–2,1.7,fr Monaco,"42,509",Estádio Do Dragão,Jonas Eriksson,a061be65
2017,Group stage,6,Wed,2017-12-06,19:45 (02:45),Liverpool eng,4.2,7–0,0.6,ru Spartak Moscow,"48,779",Anfield,Szymon Marciniak,f29c456d
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),RB Leipzig de,3.0,1–2,1.8,tr Beşiktaş,"42,558",Red Bull Arena,Viktor Kassai,5b3b51d4
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),Feyenoord nl,0.7,2–1,1.3,it Napoli,"36,500",Stadion Feijenoord,Michael Oliver,6bc20ec5
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),NK Maribor si,0.8,1–1,1.7,es Sevilla,"11,976",Ljudski vrt,Ovidiu Hațegan,6c13565f
2017,Group stage,6,Wed,2017-12-06,20:45 (02:45),Real Madrid es,2.7,3–2,1.7,de Dortmund,"73,323",Estadio Santiago Bernabéu,Pavel Královec,d452d633
2017,Group stage,6,Wed,2017-12-06,21:45 (02:45),Shakhtar ua,1.7,2–1,1.7,eng Manchester City,"33,154",Oblasny SportKomplex Metalist,Benoît Bastien,78553112
2017,,,,,,,,,,,,,,
2017,Round of 16,,Tue,2018-02-13,20:45 (02:45),Basel ch,1.0,0–4,0.7,eng Manchester City,"36,000",St. Jakob-Park,Jonas Eriksson,8d69f9ef
2017,Round of 16,,Tue,2018-02-13,20:45 (02:45),Juventus it,2.5,2–2,1.8,eng Tottenham,"41,232",Allianz Stadium,Felix Brych,defe3968
2017,Round of 16,,Wed,2018-02-14,19:45 (02:45),Porto pt,0.5,0–5,2.6,eng Liverpool,"47,718",Estádio Do Dragão,Daniele Orsato,aa5247eb
2017,Round of 16,,Wed,2018-02-14,20:45 (02:45),Real Madrid es,2.4,3–1,1.0,fr Paris S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,9ec5ce7a
2017,Round of 16,,Tue,2018-02-20,19:45 (02:45),Chelsea eng,0.5,1–1,0.6,es Barcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,e29357ad
2017,Round of 16,,Tue,2018-02-20,20:45 (02:45),Bayern Munich de,4.9,5–0,0.3,tr Beşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,43d0aecf
2017,Round of 16,,Wed,2018-02-21,20:45 (02:45),Sevilla es,2.0,0–0,0.7,eng Manchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,d3970c11
2017,Round of 16,,Wed,2018-02-21,21:45 (02:45),Shakhtar ua,1.7,2–1,1.8,it Roma,"35,124",Oblasny SportKomplex Metalist,William Collum,48f88082
2017,Round of 16,,Tue,2018-03-06,19:45 (02:45),Liverpool eng,1.6,0–0,0.6,pt Porto,"48,768",Anfield,Felix Zwayer,a4c4c6cc
2017,Round of 16,,Tue,2018-03-06,20:45 (02:45),Paris S-G fr,1.1,1–2,2.2,es Real Madrid,"46,585",Parc des Princes,Felix Brych,9bdff23e
2017,Round of 16,,Wed,2018-03-07,19:45 (02:45),Tottenham eng,1.7,1–2,1.5,it Juventus,"84,010",Wembley Stadium,Szymon Marciniak,19a6e95f
2017,Round of 16,,Wed,2018-03-07,19:45 (02:45),Manchester City eng,1.6,1–2,0.6,ch Basel,"49,411",Etihad Stadium,Pavel Královec,35540190
2017,Round of 16,,Tue,2018-03-13,19:45 (02:45),Manchester Utd eng,1.9,1–2,1.7,es Sevilla,"74,909",Old Trafford,Danny Makkelie,c794989a
2017,Round of 16,,Tue,2018-03-13,20:45 (02:45),Roma it,0.7,1–0,0.2,ua Shakhtar,"47,693",Stadio Olimpico,Alberto Undiano,7d227d55
2017,Round of 16,,Wed,2018-03-14,20:00 (00:00),Beşiktaş tr,1.2,1–3,2.1,de Bayern Munich,"36,885",Vodafone Arena,Michael Oliver,db080732
2017,Round of 16,,Wed,2018-03-14,20:45 (02:45),Barcelona es,1.0,3–0,0.7,eng Chelsea,"97,183",Camp Nou,Damir Skomina,37029ff4
2017,Quarter-finals,,Tue,2018-04-03,20:45 (01:45),Sevilla es,0.9,1–2,1.4,de Bayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,0c836452
2017,Quarter-finals,,Tue,2018-04-03,20:45 (01:45),Juventus it,1.6,0–3,3.1,es Real Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,4f057387
2017,Quarter-finals,,Wed,2018-04-04,19:45 (01:45),Liverpool eng,1.6,3–0,0.6,eng Manchester City,"50,685",Anfield,Felix Brych,7f1b8f75
2017,Quarter-finals,,Wed,2018-04-04,20:45 (01:45),Barcelona es,1.9,4–1,1.7,it Roma,"90,106",Camp Nou,Danny Makkelie,ed570f1a
2017,Quarter-finals,,Tue,2018-04-10,19:45 (01:45),Manchester City eng,1.2,1–2,0.8,eng Liverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,d838d566
2017,Quarter-finals,,Tue,2018-04-10,20:45 (01:45),Roma it,2.7,3–0,0.9,es Barcelona,"56,580",Stadio Olimpico,Clément Turpin,facc75fa
2017,Quarter-finals,,Wed,2018-04-11,20:45 (01:45),Bayern Munich de,1.2,0–0,0.6,es Sevilla,"70,000",Allianz Arena,William Collum,215e3753
2017,Quarter-finals,,Wed,2018-04-11,20:45 (01:45),Real Madrid es,2.7,1–3,2.7,it Juventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,ef2140d3
2017,Semi-finals,,Tue,2018-04-24,19:45 (01:45),Liverpool eng,3.7,5–2,1.9,it Roma,"51,236",Anfield,Felix Brych,a2f4d0d5
2017,Semi-finals,,Wed,2018-04-25,20:45 (01:45),Bayern Munich de,1.9,1–2,0.7,es Real Madrid,"70,000",Allianz Arena,Björn Kuipers,f5ca2565
2017,Semi-finals,,Tue,2018-05-01,20:45 (01:45),Real Madrid es,1.8,2–2,3.0,de Bayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,38beee5e
2017,Semi-finals,,Wed,2018-05-02,20:45 (01:45),Roma it,2.4,4–2,1.6,eng Liverpool,"61,889",Stadio Olimpico,Damir Skomina,089590e2
2017,Final,,Sat,2018-05-26,21:45 (01:45),Real Madrid es,1.5,3–1,1.9,eng Liverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,8f71b212
